Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Produtor,Genero,Jogo
Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.31,0.4,0.0,0.14,0.85,37,0,171
Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85,45,13,231
The Crew 2,2018.0,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82,140,10,647
Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82,70,14,488
ARK: Survival Evolved,2017.0,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81,119,0,4
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015.0,Action,Square Enix,0.21,0.14,0.39,0.07,0.81,117,0,185
Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79,140,0,37
Final Fantasy XIV: A Realm Reborn,2014.0,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79,117,4,239
Destiny: The Collection,2016.0,Shooter,Activision,0.24,0.4,0.02,0.12,0.78,8,12,154
F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78,27,10,217
Hitman (2016),2017.0,Action,Square Enix,0.24,0.36,0.06,0.11,0.78,117,0,292
Pro Evolution Soccer 2015,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76,70,14,487
LEGO City Undercover,2017.0,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75,145,8,338
Pro Evolution Soccer 2018,2017.0,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75,70,14,490
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.0,0.13,0.75,37,1,170
Pro Evolution Soccer 2017,2016.0,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75,70,14,489
Sniper Elite 3,2014.0,Shooter,505 Games,0.25,0.37,0.0,0.12,0.74,3,12,593
MLB 14 The Show,2014.0,Sports,Sony Computer Entertainment,0.59,0.0,0.0,0.14,0.73,112,14,366
WipEout Omega Collection,2017.0,Racing,Sony Interactive Entertainment,0.12,0.49,0.0,0.11,0.72,113,10,769
Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72,117,11,157
The LEGO Movie Videogame,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71,145,1,667
Marvel vs. Capcom: Infinite,2017.0,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7,25,3,384
Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69,86,11,129
Yakuza 6,2016.0,Adventure,Sega,0.16,0.1,0.38,0.05,0.69,108,2,785
F1 2015,2015.0,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68,27,10,216
METRO 2033,2014.0,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68,35,12,365
Rocksmith 2014,2014.0,Music,Ubisoft,0.38,0.17,0.0,0.12,0.67,140,6,546
NHL 16,2015.0,Sports,EA Sports,0.38,0.16,0.0,0.12,0.66,40,14,428
Plants vs Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66,41,12,480
Tales of Berseria,2016.0,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65,86,11,633
Yakuza Zero: The Place of Oath,2015.0,Adventure,Sega,0.22,0.16,0.19,0.08,0.65,108,2,788
One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65,86,3,460
Batman: Return to Arkham,2016.0,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64,145,0,57
Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.22,0.31,0.0,0.1,0.63,41,12,481
LEGO The Hobbit,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.0,0.1,0.62,145,1,344
World of Final Fantasy,2016.0,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62,117,11,779
F1 2017,2017.0,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62,68,10,218
NHL 15,2014.0,Sports,EA Sports,0.32,0.19,0.0,0.11,0.62,40,14,427
Knowledge is Power,2017.0,Party,Sony Interactive Entertainment,0.05,0.47,0.0,0.09,0.61,113,7,332
